REG01BAT001  2025-01-28  4750.6
REG02BAT101  2025-01-28  5150.66
REG04BAT301  2025-01-28  4060.71
REG04BAT302  2025-01-28  3370.72
REG04BAT303  2025-01-28  4440.9
REG05BAT401  2025-01-28  5470.71
REG01BAT003  2025-02-28  5640.79
REG02BAT102  2025-02-28  4230.6
REG03BAT201  2025-02-28  3490.64
REG04BAT301  invalid-date3920.66
REG05BAT402  2025-02-28  3240.6
REG01BAT002  2025-03-28  5930.87
REG02BAT101  2025-03-28  3810.66
REG02BAT102  2025-03-28  3110.7
REG04BAT301  2025-03-28  3640.95
REG04BAT302  2025-03-28  3730.59
REG04BAT304  2025-03-28  4800.75
REG01BAT002  2025-04-28  3480.75
REG02BAT102  2025-04-28  5330.66
REG02BAT103  2025-04-28  4460.72
REG03BAT201  2025-04-28  3470.73
REG03BAT202  2025-04-28  4040.72
REG04BAT303  2025-04-28  5270.61
REG04BAT304  2025-04-28  3690.83
REG05BAT402  2025-04-28  3090.92
REG01BAT001  2025-05-28  4380.6
REG02BAT102  2025-05-28  5450.54
REG03BAT202  2025-05-28  5950.89
REG04BAT301  2025-05-28  4160.67
REG04BAT302  2025-05-28  5850.89
REG04BAT303  2025-05-28  3200.7
REG04BAT304  2025-05-28  3250.75
REG01BAT002  2025-06-28  4720.64
REG01BAT003  2025-06-28  3780.65
REG02BAT101  invalid-date3890.57
REG02BAT103  2025-06-28  5860.62
REG03BAT202  2025-06-28  5300.87
REG04BAT302  2025-06-28  3230.9
REG04BAT304  2025-06-28  3020.68
REG05BAT401  2025-06-28  5850.86
REG05BAT401  2025-07-28  3470.72
REG01BAT001  2025-08-28  3000.72
REG02BAT101  2025-08-28  5860.81
REG02BAT102  2025-08-28  5650.59
REG03BAT201  2025-08-28  3700.9
REG04BAT301  2025-08-28  5800.51
REG04BAT304  2025-08-28  4460.69
REG01BAT001  2025-09-28  5930.85
REG01BAT003  2025-09-28  5730.93
REG02BAT102  2025-09-28  5310.54
REG02BAT103  2025-09-28  4190.87
REG04BAT301  2025-09-28  5650.62
REG04BAT304  2025-09-28  3340.51
REG05BAT401  2025-09-28  5080.8
REG04BAT302  2025-10-28  3650.7
REG04BAT303  2025-10-28  3310.91
REG04BAT304  2025-10-28  5630.94
REG05BAT401  2025-10-28  4040.64
REG05BAT402  invalid-date5410.55
REG01BAT001  2025-11-28  4330.65
REG02BAT101  2025-11-28  3630.95
REG03BAT202  2025-11-28  4980.64
REG04 BAT303 2025-11-28  4150.81
REG04BAT304  2025-11-28  4090.53
REG05BAT401  2025-11-28  5840.92
REG05BAT402  2025-11-28  4460.5
REG01BAT002  2025-12-28  3570.51
REG01BAT003  2025-12-28  4780.92
REG03BAT201  2025-12-28  4270.61
REG04BAT302  2025-12-28  4340.72
REG05BAT402  2025-12-28  5870.57
