12271.62025/07/22 00:00:00.000Carte bancaire2025/12/29 16:48:07.0002025/12/29 16:48:07.000
2863.682025/09/02 00:00:00.000Carte bancaire2025/12/29 16:48:07.0002025/12/29 16:48:07.000
39360.882025/08/31 00:00:00.000Carte bancaire2025/12/29 16:48:07.0002025/12/29 16:48:07.000
410283.192025/04/12 00:00:00.000Carte bancaire2025/12/29 16:48:07.0002025/12/29 16:48:07.000
513185.692025/02/04 00:00:00.000Carte bancaire2025/12/29 16:48:07.0002025/12/29 16:48:07.000
614277.282025/09/14 00:00:00.000Carte bancaire2025/12/29 16:48:07.0002025/12/29 16:48:07.000
716165.122025/04/05 00:00:00.000Carte bancaire2025/12/29 16:48:07.0002025/12/29 16:48:07.000
82368.272025/05/28 00:00:00.000Carte bancaire2025/12/29 16:48:07.0002025/12/29 16:48:07.000
926200.952025/07/26 00:00:00.000Carte bancaire2025/12/29 16:48:07.0002025/12/29 16:48:07.000
102721.852025/07/14 00:00:00.000Carte bancaire2025/12/29 16:48:07.0002025/12/29 16:48:07.000
1138230.462026/01/03 00:00:00.000Carte bancaire2025/12/29 16:48:07.0002025/12/29 16:48:07.000
1239482.812025/10/06 00:00:00.000Carte bancaire2025/12/29 16:48:07.0002025/12/29 16:48:07.000
134074.282025/06/28 00:00:00.000Carte bancaire2025/12/29 16:48:07.0002025/12/29 16:48:07.000
1442281.892025/10/26 00:00:00.000Carte bancaire2025/12/29 16:48:07.0002025/12/29 16:48:07.000
155239.592025/04/03 00:00:00.000Carte bancaire2025/12/29 16:48:07.0002025/12/29 16:48:07.000
1660397.132025/03/28 00:00:00.000Carte bancaire2025/12/29 16:48:07.0002025/12/29 16:48:07.000
176154.122025/02/26 00:00:00.000Carte bancaire2025/12/29 16:48:07.0002025/12/29 16:48:07.000
1862290.062025/03/07 00:00:00.000Carte bancaire2025/12/29 16:48:07.0002025/12/29 16:48:07.000
196453.212025/11/14 00:00:00.000Carte bancaire2025/12/29 16:48:07.0002025/12/29 16:48:07.000
2065215.842025/05/27 00:00:00.000Carte bancaire2025/12/29 16:48:07.0002025/12/29 16:48:07.000
2167364.072025/06/11 00:00:00.000Carte bancaire2025/12/29 16:48:07.0002025/12/29 16:48:07.000
2268113.752025/07/15 00:00:00.000Carte bancaire2025/12/29 16:48:07.0002025/12/29 16:48:07.000
237048.432025/04/13 00:00:00.000Carte bancaire2025/12/29 16:48:07.0002025/12/29 16:48:07.000
247517.392025/08/11 00:00:00.000Carte bancaire2025/12/29 16:48:07.0002025/12/29 16:48:07.000
2577163.992025/03/02 00:00:00.000Carte bancaire2025/12/29 16:48:07.0002025/12/29 16:48:07.000
2683315.52025/02/12 00:00:00.000Carte bancaire2025/12/29 16:48:07.0002025/12/29 16:48:07.000
278453.692025/10/24 00:00:00.000Carte bancaire2025/12/29 16:48:07.0002025/12/29 16:48:07.000
288622.852025/08/16 00:00:00.000Carte bancaire2025/12/29 16:48:07.0002025/12/29 16:48:07.000
2991380.842025/09/21 00:00:00.000Carte bancaire2025/12/29 16:48:07.0002025/12/29 16:48:07.000
3098504.982025/09/09 00:00:00.000Carte bancaire2025/12/29 16:48:07.0002025/12/29 16:48:07.000
